NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations,Study Documents
NCT05681598,Hydroxyurea Treatment for Adult Sickle Cell Anemia Patients in Kinshasa,https://clinicaltrials.gov/study/NCT05681598,COMPLETED,"The goal of this clinical trial is to evaluate the efficacy of hydroxyurea (HU) in improving disease severity in adult patients with sickle cell anemia in Kinshasa (Democratic Republic of Congo). This study aims to:

* assess the safety and efficacy of HU treatment in the Congolese environment;
* assess the reversibility of chronic cardiac lesions. Participants will take hydroxyurea for two years. The effects of the treatment will be evaluated periodically by clinical evaluation, biological tests, and echocardiographic exploration.",NO,Sickle-Cell Anaemia,DRUG: Hydroxyurea,"changes from baseline in body mass index (BMI) to year 2, weight in kilograms and height in meters will be combined to report BMI in kg/m\^2. The measurements obtained after 1 year and after 2 years of treatment will be compared with the baseline., baseline, year 1 and year 2|changes from baseline in the frequency of Acute clinical events to year 2, The number of vaso-occlusive crises and the number of transfusions and the number of days of hospitalization will be recorded each month and compiled to provide an annual assessment of the severity of the disease. The overall assessment will be 24 months., baseline, year 1 and year 2|changes from baseline in complete blood count to year 2, A complete blood count will be assessed every 3 months up to 24 months of HU treatment. The values measured during the treatment will be compared to the basal values., baseline, 3, 6, 9, 12, 15, 18, 21 and 24 months|changes from baseline in Fetal hemoglobin to year 2, The fetal hemoglobin rate will be measured every 3 months up to 24 months of HU treatment and its values compared to its initial value., baseline, 3, 6, 9, 12, 15, 18, 21 and 24 months|changes from baseline in left ventricle dilation to year 1, Left ventricular internal diameter in diastole (LVID), mesured by cardiac ultrasound, indexed to body surface area (cm/m²) will be measured at baseline and compared with measurements taken every 4 months, over a total period of 12 months of HU treatment., baseline, 4, 8 and 12 months|changes from baseline in the thickness of left ventricular walls to year 1, The thickness of the walls of the left ventricle (interventricular septum and posterior wall of the left ventricle) expressed in ""cm"" were measured on echocardiography. The measurements taken every 4 months were compared to the basal measurement. The overall assessment will cover 12 months of treatment., baseline, 4, 8 and 12 months|changes from baseline in the tricuspid regurgitation jet velocity to year 1, The velocity of the tricuspid regurgitation jet will be evaluated by cardiac ultrasound with continuous Doppler. A velocity greater than or equal to 2.5m/s indicates pulmonary hypertension. The measurement will be made every four months, for a total period of 12 months., baseline, 4, 8 and 12 months|changes from baseline in the pulmonary acceleration time (PaccT) to year 1, In cardiac ultrasound short -axis view, with the pulsed-wave Doppler placed at the center of the trans-pulmonary valve jet, the PaccT is the time interval between the onset of ejection and the peak flow velocity (in milliseconds). Pulmonary hypertension will be diagnosed when PaccT was less than 90 milliseconds. The measurement will be made every four months, for a total period of 12 months., baseline, 4, 8 and 12 months|Changes from baseline in E and A mitral to year 1, The transmitral Doppler velocities will be studied, with the pulsed-wave Doppler sample volume placed at the tips of the mitral valve leaflets from the apical four chambers view. Diastolic peaks velocity early (E) and later (A) will be recorded in cm/second. The measurements will be obtained at starting and every 4 months during a year of treatment., baseline, 4, 8 and 12 months|Changes from baseline in E' mitral to year 1, The pulsed-wave tissue Doppler imaging (TDI) will be used to provide ventricular wall motion velocity measurements by positioning the sample volume at the parietal side of the mitral valve annuli. The velocity of the early diastolic wave (E') will be measured in cm/s. Baseline value and values obtained every 4 months will be recorded., baseline, 4, 8 and 12 months|Changes from baseline in the E/E' mitral ratio to year 1, The calculated E/E' mitral ratio less than 8 indicates low filling pressures of the left ventricle. Baseline value and values obtained every 4 months during treatment will be compared., baseline, 4, 8 and 12 months",,,University of Kinshasa,KU Leuven,ALL,ADULT,NA,166,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-08-30,2020-05-16,2020-05-16,"University of Kinshasa, Kinshasa, Congo, The Democratic Republic of the",
NCT06581900,Study of Vitamin B12 Metabolism in Children With Sickle Cell Disease Exposed to MEOPA,https://clinicaltrials.gov/study/NCT06581900,RECRUITING,"Short description of the protocol intended for the lay public. Include a brief statement of the study hypothesis (Limit : 5000 characters) The sickle cells anemia is a monogenic disease linked to the presence of Hemoglobin S due to a mutation in the Hemoglobin Beta chain. The lack of circulating oxygen induces a polymerization of the Hemoglobin S which change the red cell conformation into sickle. Those cells interact and causes vaso-occlusive crisis (CVO).

The MEOPA is a medical gas used as an antalgic and a sedative especially in sickle cells disease patients. The nitrous oxide, oxide the cobalt ion in the vitamin B12 which inactivate it irreversibly creating a functional deficiency.

During the metabolism of vitamin B12, homocysteine is transformed in methionine which is used in to form the myelin sheath and helped in producing DNA. Numerous studies already shown that the longer the exposition to MEOPA is the greater the functional deficiency of vitamin B12 occur.

A few studies shown a symptomatic deficiency of vitamin B12 due to the exposition of MEOPA in sickle cells patient but there is no explanation on the necessary amount of exposure or if some patients are more at risk. When there is a deficiency of vitamin B12 the symptoms can go from a simple orthostatic hypotension to a combined spinal sclerosis.

The participation to the study will be proposed to every patient hospitalized for a CVO in the follow up of the emergency room visit or directly in pediatric reanimation. During a usual blood test, a small amount of blood (4mL) will be collected in addition to dose the Vitamin B12, the vitamin B9, the homocysteine, and the methionine. A small amount of urine will also be collected to dose the methylmalonic acid, all those elements are a part of the metabolism of B12 vitamin.

The same sample will be taken on the day of departure of the hospital. During the hospitalization the pain management, a daily neurological exam, and the exposition to the MEOPA will be assessed meticulously.

An appointment will take place at 7 days and at one month after the hospital departure to evaluate the possible neurological defect.

Each patient can only be included once.",NO,Sickle Cells Patients,OTHER: Vitamin B12,"Proportion of patients who will present a Vitamin B12 deficiency, Limit : Vitamin B12 \&amp;lt;191pg/mL or homocysteine \&amp;gt; 10micromol/L in children under 15 years old or \&amp;gt; 15 micromol/L for children over 15 years old., Day 15",,,CHU de Reims,,ALL,"CHILD, ADULT",,29,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2024-11-27,2025-11,2025-12,"Chu Reims, Reims, 51092, France",
NCT02972138,Vitamin D and Bisphosphonates in the Treatment of Sickle Cell Disease,https://clinicaltrials.gov/study/NCT02972138,COMPLETED,"Sickle cell disease (SCD) is a worldwide distributed hereditary red cell disorder, which affects approximately 75,000 individuals in the United States and almost 20,000- 25,000 subjects in Europe, this latter mainly related to the immigration fluxes from endemic areas such as Sub-Saharian Africa to European countries. Studies of global burden disease have pointed out the invalidating impact of SCD on patient quality of life. This requires the development of new therapeutic options to treat sickle cell related acute and chronic complications. SCD is caused by a point mutation in the β-globin gene resulting in the synthesis of pathological hemoglobin S (HbS). HbS displays peculiar biochemical characteristics, polymerizing when deoxygenated with associated reduction in cell ion and water content (cell dehydration), increased red cell density and further acceleration of HbS polymerization. Pathophysiological studies have shown that dense, dehydrated red cells play a central role in acute and chronic clinical manifestations of SCD, in which intravascular sickling in capillaries and small vessels leads to vaso-occlusion and impaired blood flow with ischemic/reperfusion injury. In microcirculation, vaso-occlusive events (VOC) result from a complex and still partially known scenario, involving the interactions between different cell types, including dense red cells, reticulocytes, abnormally activated endothelial cells, leukocytes, platelets and plasma factors. Target organs, such as bone or lung, are involved in both acute and chronic clinical manifestations of SCD, related to their peculiar anatomic organization mainly characterized by sluggish circulation and relative local hypoxia. VOCs combined with marrow hyperplasia and inflammation has been suggested to contribute to the development of sickle bone disease (SBD). Recently, it has been proposed a possible role of vitamin D deficiency in SBD, which appears to be subordinated to the primary defect in bone homeostasis. In a humanized mouse model for SCD, we recently reported that SBD is due to imbalance between osteoblast/osteoclast activity induced by recurrent VOCs. In addition, we show that zoledronic acid prevents bone impairment related to SCD, reducing osteoclast activity and improving osteoblast performance.",NO,Sickle Cells Disease,,"Incidence of vertebral fracture, 5 years follow up","severity of vertebral fracture, 5 years follow up|Incidence of non-vertebral fracture, 5 years follow up",,Società Italiana Talassemie ed Emoglobinopatie,,ALL,ADULT,,80,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-01,2015-12,2017-09,"Ospedali Galliera - S.S.D. Microcitemia, anemie congenite e dismetabolismo del ferro, Genova, 16128, Italy|Ospedali Galliera - S.S.D. Ortogeriatria per intensità di cure, Genova, 16128, Italy|Università degli Studi di Verona, Verona, 37129, Italy",
NCT04156893,RH Genotype Matched RBC Transfusions,https://clinicaltrials.gov/study/NCT04156893,RECRUITING,To determine the feasibility and efficacy of matching donor red cells by RH genotype for a cohort of chronically transfused patients with SCD.,NO,Sickle Cells Disease,BIOLOGICAL: Red cell units that are genotype matched at the RHD and RHCE loci,"Determine the treatment efficacy by monitoring the rate of Rh alloimmunization, A primary objective is to determine whether providing RH genotype matched red cell units can reduce or prevent Rh alloimmunization., 3.5 years|Determine the feasibility of identifying sufficient RH genotype matched units, A primary objective is to determine the feasibility of identifying sufficient RH genotype matched red cells for chronically transfused patients with SCD with varied RH genotypes. Approximately 20 RHD (Rhesus D) and 20 RHCE (Rhesus CE) variants have been observed in patients with SCD and will determine whether sufficient RH genotyped units can be matched to the patient's own RH genotype., 3.5 years","Determine the rate of non-Rh alloimmunization, A secondary objective is to determine the rate of antibody formation outside the Rh blood group system, such as anti-Kidd or -S/s., 3.5 years",,Children's Hospital of Philadelphia,"New York Blood Center|National Heart, Lung, and Blood Institute (NHLBI)",ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,35,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-01-30,2029-04,2029-10,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States",
NCT07015684,131I-apamistamab-based Conditioning for Hematopoietic Stem Cell Transplant (HSCT) in Advanced Sickle Cell Disease (SCD),https://clinicaltrials.gov/study/NCT07015684,RECRUITING,"The purpose of this study is to find the smallest amount of the 131 I-apamistamab needed for preparing patients with severe sickle cell disease (SCD) for a bone marrow transplant. This is the first time 131 I-apamistamab is being used for advanced Sickle Cell Disease (SCD) in the setting of allogeneic stem cell transplant. 131 I-apamistamab is an investigational product. This means that 131 I-apamistamab has not been approved by the Food and Drug Administration (FDA) for medical use in patients.

The study treatment that is given before the transplant is called the conditioning regimen. In this study, the investigators are adding a drug called 131 I-apamistamab instead of the conditioning regimen typically given before a stem cell transplant.",NO,Sickling Disorder Due to Hemoglobin S,DRUG: 131I-apamistmab|DRUG: Sirolimus|DRUG: Campath|DRUG: Total Body Irradiation|PROCEDURE: Exchange Transfusion|RADIATION: Planar gamma imaging,"Graft failure rate, Graft failure defined as having had a primary or secondary graft failure by 42 days after blood stem cell (PB) transplantation. Primary graft failure is defined as failure to achieve an absolute neutrophil count (ANC) of \>500/ μL by 42 days after blood stem cell (PB) transplantation or a total donor chimerism of \>5%. Secondary graft failure is defined as cytopenias after initial engraftment (ANC \<500/μL) and a total donor cell chimerism decreasing to less than 5%., 42 days after blood stem cell (PB) transplantation","Event-free survival (EFS) Rate, Event-free survival is defined as the time from treatment initiation to the occurrence of primary graft failure, death, Graft-versus-Host Disease (GVHD) Grade III-IV, whichever comes first. Patients without events will be censored at the time of last follow-up assessment., Duration of study, up to 7 years|Time to engraftment of Neutrophils, Time to neutrophil engraftment is defined as the first of 3 measurements on consecutive days when the patient has an absolute neutrophil count of 500/μL after conditioning., Up to 7 years|Time to engraftment of Platelets, Time to platelet engraftment will be defined as the first day of a minimum of 3 measurements on different days that the patient has achieved a platelet count \> 50,000/μL AND did not receive a platelet transfusion in the previous 7 days. The exception is the case in which a subject is given a platelet transfusion specifically to achieve a platelet threshold to allow an elective invasive procedure, such as a central catheter removal. Time from treatment initiation to successful donor cell engraftment defined as having achieved \> 50% total PMC donor cell chimerism upon successful engraftment at day +30 or upon meeting ANC and Plt engraftment whatever occurs first., Up to 7 years|Incidence of Graft-versus-Host Disease (GVHD) of any grade, Incidence of acute and chronic GVHD of any grade as evaluated according to the CIBMTR and NIH criteria respectively., Up to 7 years|Incidence of other transplant related toxicities, Incidence of other transplant related toxicities, including Veno-occlusive disease (VOD), Idiopathic pneumonia syndrome (IPS), Central nervous system (CNS) toxicity, or Posterior reversible encephalopathy syndrome (PRES)., 12 Months Post Stem Cell Transplant|Incidence of significant transplant-related infections, Significant infections will be recorded including but not limited to bacterial or fungal sepsis, CMV reactivation with/without clinical disease, adenovirus infection, EBV reactivation with or without PTLD, other significant viral reactivations or community-acquired viral infections and invasive mold infections., 12 Months Post Stem Cell Transplant|Number of participants with donor chimerism >5%, Chimerism is a measure of the engraftment of donor cells within the recipient and is expressed as the percentage ratio between the number of donor cells and recipient cells. Chimerism will be determined by Short Tandem Repeat analysis., 100 days post-transplant and 1 year post transplant by STR|Percentage of Participants who Achieve Immune Reconstitution, Peripheral blood quantitative assessment of CD3+, CD4+, CD8+, CD19+, and CD16+/56+ lymphocytes will be assessed by flow cytometry. In addition, quantitative immunoglobulins will be measured for IgA, IgM and IgG. These will be performed at Day +60 (±10 days) as well as at 1 year (+/- 2 weeks) and after long term follow up at the discretion of the investigator. Descriptive statistics will be used to describe the percentage of patients who are able to achieve reconstitution of important lymphocyte subsets and B cell function at the defined timepoint above., 12 Months Post Stem Cell Transplant|Follicle-stimulating hormone (FSH) titer, To assess the impact of the conditioning on fertility, FSH titers will be measured., At study inclusion and at 1 year post-transplant|Luteinizing hormone (LH) titer, To assess the impact of the conditioning on fertility, LH titers will be measured., At study inclusion and at 1 year post-transplant|Anti-Müllerian Hormone (AMH) titer, To assess the impact of the conditioning on fertility, AMH titers will be measured, At study inclusion and at 1 year post-transplant|Testosterone titer, To assess the impact of the conditioning on fertility, testosterone titers will be measured., At study inclusion and at 1 year post-transplant|Sperm titer, To assess the impact of the conditioning on fertility, sperm titers will be measured., At study inclusion and at 1 year post-transplant",,Columbia University,Actinium Pharmaceuticals,ALL,"CHILD, ADULT",PHASE1,24,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2025-04-28,2030-03-12,2032-03-12,"Columbia University Irving Medical Center, New York, New York, 10032, United States",
NCT06601894,The Relationship of Platelet Counts With Sickle Cell Anemia in the Eastern Region of Saudi Arabia,https://clinicaltrials.gov/study/NCT06601894,NOT_YET_RECRUITING,This study aims to evaluate the relationship between platelet counts and sickle cell disease in the eastern region of the Kingdom of Saudi Arabia.,NO,Sickle Cell Anaemia|SCD,DIAGNOSTIC_TEST: Platelets count,"Collecting platelet data for sickle cell anemia patients, Collecting platelet data for sickle cell anemia patients in males and female and children based on different ages, then analyzing them and studying their relationship, From January 2023 to December 2023",,,Majmaah University,,ALL,"CHILD, ADULT, OLDER_ADULT",,650,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2024-12-01,2024-12-31,2025-03-30,"Khalid Ali Majrashi, Dammam, Saudi Arabia",
NCT02844673,Mobile-Directly Observed Therapy on Adherence to Hydroxyurea,https://clinicaltrials.gov/study/NCT02844673,COMPLETED,To examine the effect of mobile-directly observed therapy (mDOT) on adherence to HU (mDOT-HuA) adults with SCA at Muhimbili National Hospital (MNH) in Tanzania.,NO,Sickle Cell Anaemia,DRUG: Hydroxyurea|DEVICE: Mobile Directly Observed Therapy,"The proportion of participants achieving ≥80% HU adherence as assessed through medication possession ratio., The proportion of participants achieving ≥80% HU adherence will compared between the two arms., At the end of 3 months of Hydroxyurea treatment and monitoring.","Efficacy of Hydroxyurea treatment as measured through the mean change in fetal hemoglobin (%),, The mean change in fetal hemoglobin (between baseline and end of 3 months) will be compared between the two arms., At the end of 3 months of Hydroxyurea treatment and monitoring.|The proportion of participants experiencing serious adverse events (SAE) related to hydroxyurea, The overall proportion of participants experiencing SAE during the 3 months of Hydroxyurea treatment will be evaluated as a measure of the safety of treatment with Hydroxyurea, at week 2, 6 ,10 and at the end of 3 months of Hydroxyurea treatment and monitoring.","Incidence of laboratory adverse events, fever and other sickle cell anemia symptoms, The incidence during 3 months of treatment will be compared with the incidence during pre-treatment period, At the end of 3 months Hydroxyurea treatment and monitoring|Level of leucopenia in relation to incidence rates of fever as indicator of possible infection, The level of leucopenia in relation to incidence rate of fever during 3 months of treatment with be compared with that during the pre-treatment period, At the end of 3 months Hydroxyurea treatment and monitoring|Mean change in estimated glomerular filtration rate as a measure of kidney function, The mean change in estimated glomerular filtration rate will be evaluated as an indicator of deteriorating renal function after Hydroxyurea exposure, At the end of 3 months Hydroxyurea treatment and monitoring|Mean change in the level of Lactate Dehydrogenase (LDH) from baseline, Serum LDH level (U/L) is usually elevated in sickle cell anemia indicating hemolysis. A decrease in the level of LDH will be considered favorable effect of Hydroxyurea, At the end of 3 months Hydroxyurea treatment and monitoring|Mean change in reticulocyte count from baseline, Reticulocyte count is usually increased in sickle cell anemia, indicating of hemolysis (a decrease in reticulocyte count % will be considered favorable effect of Hydroxyurea), At the end of 3 months Hydroxyurea treatment and monitoring",Muhimbili University of Health and Allied Sciences,University of Pittsburgh|Muhimbili National Hospital,ALL,"ADULT, OLDER_ADULT",PHASE2,98,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-04-28,2018-01-28,2018-05-18,"Muhimbili University of Health and Allied Sciences, Dar es Salaam, 11101, Tanzania",
NCT00415727,Prevention Of Morbidity In Sickle Cell Disease Pilot Phase,https://clinicaltrials.gov/study/NCT00415727,UNKNOWN,"The hypothesis is that in sickle cell anaemia, nocturnal oxyhaemoglobin desaturation, is associated with low processing speed index, and this morbidity can be reduced with overnight auto Continuous Positive Airways Pressure and/or oxygen supplementation.",NO,Sickle Cell Anaemia,DEVICE: auto Continuous Positive Airways Pressure (CPAP) with oxygen supplementation,Change in processing speed index,"Frequency of pain measured via SMS and pain diary|Adverse events e.g. headache, anorexia, weight loss, nausea, vomiting, reduction in steady state red or white cell count|Change in Blood pressure|Number of omissions on Conners Continuous Performance Test|Change in Chervin sleep Questionnaire|Change in Behaviour Rating Inventory of Executive Function (BRIEF)|Change in number of abnormalities (Adams' criteria) on TCD",,Institute of Child Health,,ALL,CHILD,PHASE2,22,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE|Primary Purpose: ",2006-11,,,"Neuroscience Unit, Institute of Child Health, London, WC1N 1EH, United Kingdom|Kings College hospital, London, WC2R 2LS, United Kingdom",
NCT06078696,Siplizumab for Sickle Cell Disease Transplant,https://clinicaltrials.gov/study/NCT06078696,RECRUITING,"The purpose of this study is to find out whether siplizumab is safe and effective for patients with SCD undergoing an allogeneic transplant and to prevent development of Graft versus Host Disease (GVHD) and graft failure. The main goals of this study are :

* To determine if acute GVHD occurs and how severe the acute GVHD is in subjects receiving the study drug
* To determine if graft failure occurs in subjects receiving the study drugs

In this study, participants will receive 5 infusions of the study drug, siplizumab, while getting a stem cell transplant for SCD. Before siplizumab infusion, participants will be given medications to reduce the risks of allergic reaction to the drug.",NO,"Anemia, Sickle Cell",DRUG: Siplizumab|PROCEDURE: Exchange Transfusion|PROCEDURE: Total Body Irradiation|PROCEDURE: Stem Cell Infusion|DRUG: Cyclophosphamide 50mg|DRUG: Mesna|DRUG: Sirolimus Oral Tablet|DRUG: Rituximab or Biosimilar,"Failure Rate, Failure rate is a safety endpoint. Failure rate is defined as: graft failure (Primary Graft Rejection: Primary graft rejection is defined as the absence of donor cells (% donor cells \< 5%) assessed by bone marrow or peripheral blood chimerism assays by Day 42. Late Graft Rejection: The absence (\<5%) of donor hematopoietic cells in peripheral blood or bone marrow beyond Day 42 in a patient who had initial evidence of hematopoietic recovery with \> 20% donor cells will be considered a late graft rejection.); or grades III-IV GVHD (as assessed by Center for International Blood and Marrow Transplant Research (CIBMTR) and NIH Consensus Criteria); or death at 100 days., 12 Months Post Stem Cell Transplant","Time to Engraftment, Time to neutrophil engraftment is defined as the first of 3 measurements on consecutive days when the patient has an absolute neutrophil count of 500/μL after conditioning. Time to platelet engraftment will be defined as the first day of a minimum of 3 measurements on different days that the patient has achieved a platelet count \> 50,000/μL AND did not receive a platelet transfusion in the previous 7 days. Time to red cell engraftment is defined as the first of two measurements on different days that the patient has achieved an absolute reticulocyte count \> 30,000/μL following conditioning regimen induced nadir., Day 100|Incidence of GVHD of Any Grade, Incidence of acute and chronic GVHD of any grade as evaluated according to the CIBMTR and NIH criteria respectively., 12 Months Post Stem Cell Transplant|Incidence of other transplant related toxicities, Incidence of other transplant related toxicities, including Veno-occlusive disease (VOD), Idiopathic pneumonia syndrome (IPS), Central nervous system (CNS) toxicity, or Posterior reversible encephalopathy syndrome (PRES)., 12 Months Post Stem Cell Transplant|Incidence of Significant transplant-related infections, Significant infections will be recorded including but not limited to bacterial or fungal sepsis, cytomegalovirus (CMV) reactivation with/without clinical disease, adenovirus infection, epstein-barr virus (EBV) reactivation with or without post-transplant lymphoproliferative disorders (PTLD), other significant viral reactivations or community-acquired viral infections and invasive mold infections., 12 Months Post Stem Cell Transplant|Number of participants with donor chimerism >5%, Chimerism is a measure of the engraftment of donor cells within the recipient and is expressed as the percentage ratio between the number of donor cells and recipient cells. Chimerism will be determined by Short Tandem Repeat analysis., Day 30, Day 100, and 1 year|Percentage of Participants who Achieve Immune Reconstitution, Peripheral blood quantitative assessment of the main lymphocyte subpopulations (CD3+, CD4+, CD8+, CD19+, and CD16+/56+). Lymphocytes will be assessed by flow cytometry. In addition, quantitative immunoglobulins will be measured for Immunoglobulin A (IgA), Immunoglobulin M (IgM) and Immunoglobulin (IgG). These will be performed at Day +60 (±10 days) as well as at 1 year (+/- 2 weeks) and after long term follow up at the discretion of the investigator. Descriptive statistics will be used to describe the percentage of patient who are able to achieve reconstitution of important lymphocyte subsets and B cell function at the defined timepoint above., 12 Months Post Stem Cell Transplant",,Columbia University,ITB-Med LLC,ALL,ADULT,PHASE1|PHASE2,18,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-09-28,2028-07,2029-07,"Columbia University Irving Medical Center, New York, New York, 10032, United States",
NCT05660265,"A Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Oral GSK4172239D Compared With Placebo in Sickle Cell Disease Participants Aged 18 to 50 Years",https://clinicaltrials.gov/study/NCT05660265,RECRUITING,"This will be a first time in human (FTIH) study in sickle cell diseases (SCD) participants. The FTIH study is planned to evaluate the safety, tolerability, and pharmacokinetics of GSK4172239D.

The study will be composed of 3 periods for all participants (Screening, Treatment, and Follow up). Participants will be screened and, prior to first dose on Day 1, will be randomized to receive either GSK4172239D or placebo.

GSK4172239D is a prodrug that is converted in vivo into GSK4106401. This study will be a single dose, dose-escalation study. The initial dosing for all cohorts will be staggered so that 2 participants will be dosed as sentinel participants. Provided there are no safety concerns in 48 hours (h), the remaining 6 participants scheduled for the cohort may be dosed. One selected cohort of participants will also receive an additional single dose of GSK4172239D (or matching placebo) under fed (high calorie and high fat) conditions after a washout period of a minimum of 20 days or 5 half-lives, whichever is longer, designated as the Food Effect Cohort.",NO,"Hematologic Diseases|Anaemia, Sickle Cell",DRUG: GSK4172239D|OTHER: Placebo,"Area under curve zero to time infinity (AUC 0-inf) for GSK4106401 after a single oral dose of GSK4172239D, Up to Day 3|Maximum observed plasma concentration (Cmax) for GSK4106401 after a single oral dose of GSK4172239D, Up to Day 3|Time to Cmax (Tmax) for GSK4106401 after a single oral dose of GSK4172239D, Up to Day 3|Half-life (t1/2) for GSK4106401 after a single oral dose of GSK4172239D, Up to Day 3|Ratio between the fed and fasted conditions for AUC (0-inf), Up to Day 3|Ratio between the fed and fasted conditions for Cmax, Up to Day 3","Number of participants with clinically significant changes from baseline in white blood cell (WBC), Baseline and up to Day 7|Number of participants with clinically significant changes from baseline in hemoglobin, Baseline and up to Day 7|Number of participants with clinically significant changes from baseline in platelets count, Baseline and up to Day 7|Number of participants with clinically significant changes from baseline in neutrophil count, Baseline and up to Day 7|Number of participants with clinically significant changes from baseline in alanine transaminase (ALT), Baseline and up to Day 7|Number of participants with clinically significant changes from baseline in aspartate transaminase (AST), Baseline and up to Day 7|Number of participants with clinically significant changes from baseline in bilirubin, Baseline and up to Day 7|Number of participants with adverse event (AE) and serious adverse event (SAE), Up to Day 7|Number of participants with clinically significant change from baseline in 12 lead electrocardiograms (ECG), Baseline and up to Day 7|Number of participants with clinically significant change from baseline in vital signs, Baseline and up to Day 7",,GlaxoSmithKline,,ALL,ADULT,PHASE1,40,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-08-26,2026-02-27,2026-02-27,"GSK Investigational Site, Miami, Florida, 33155, United States|GSK Investigational Site, Miami, Florida, 33165, United States|GSK Investigational Site, Tamarac, Florida, 33321, United States|GSK Investigational Site, Atlanta, Georgia, 30315, United States|GSK Investigational Site, Columbus, Georgia, 31904, United States|GSK Investigational Site, Riverdale, Georgia, 30274, United States|GSK Investigational Site, Las Vegas, Nevada, 89113, United States|GSK Investigational Site, Raleigh, North Carolina, 27617, United States",
